user_ID,grooming,shedding,energy,trainability,demeanor,size
1,0,0.8,0.55,0.5,0.583333333,0.5
2,0,0.8,0.55,1,0.458333333,0.5
3,0,0,1,0,0.5,0.5
4,0.5,0.8,0.55,1,0.375,0.5
5,0.5,0,0.7,1,0.775,0.75
6,0,0.8,0.9,0,0.4375,0.75
7,0,0,0.35,0.5,0.791666667,0.25
8,0.5,0.8,0.55,0.5,0,0.5
9,0.5,0,0.2,1,1,0
10,1,0,0.45,0,0.75,0.5
11,0,0,0.1,0.5,0.6875,0
12,0,0.8,0.8,0.5,0.75,1
13,1,0.8,0.8,0,0.5,1
14,1,0.8,0.8,0.5,0.458333333,1
15,1,0,0.9,0.5,0.375,1
16,1,0,1,1,0.729166667,1
17,1,0,0.9,1,0.875,0.5
18,0.5,0,0.9,1,0.75,0
19,0.5,0,0.9,1,0.78125,0.5
20,0.5,0,0.65,1,0.729166667,0
21,0.5,0,0.65,1,0.9375,0
22,0.5,0,0.65,0.5,0.875,0
23,0.5,0,0.75,1,0.625,0
24,0.5,0.8,0.75,1,0.729166667,0
25,0.5,0.8,0.75,1,0.875,0
26,0.5,0.8,0.75,1,0.78125,0.5
27,0.5,0.8,0.75,1,0.729166667,0.5
28,0.5,0.8,0.75,1,0.725,0.5
29,0.5,0.8,0.75,1,0.875,0.5
30,0.5,0.8,0.55,1,0.9375,0.5
31,0.5,0.8,0.55,1,0.708333333,0.5
32,0.5,0.8,0.55,1,0.75,0.5
33,0.5,0.8,0.55,1,0.708333333,0.5
34,0.5,0.8,0.55,1,0.729166667,0.5
35,0.5,0.8,0.55,1,0.625,0.5
36,0.5,0.8,0.55,1,0.625,0.5
37,0.5,0.8,0.55,1,0.8125,0.5
38,0.5,0.8,0.55,1,0.875,0.5
39,0.5,0.8,0.55,1,0.725,0.5
40,0.5,0.8,0.55,1,0.75,0.5
41,0.5,0.8,0.55,1,0.791666667,0.5
42,0.5,0.8,0.55,1,0.875,0.5
43,0.5,0.8,0.55,1,0.8125,0.5
44,0.5,0.8,0.55,1,0.5,0.5
45,0,0,0.6,0,0.75,0.5
46,1,0.8,1,0,0.875,1
47,0.5,0.8,0.65,0.5,0.5,0.75
48,0,0,0.4,1,0,0
49,0.5,0,0.55,0.5,0.729166667,0.5
50,1,0,1,0,0.458333333,1
51,0.5,0,0.8,0.5,0.3125,0.5
52,0.5,0,0.9,0.5,0.75,1
53,1,0,0.2,0.5,0.375,0.25
54,0,0,0.7,0,0.333333333,0.5
55,0.5,0,0.9,0,0.166666667,0.25
56,0,0,0.8,0.5,0.583333333,0.5
57,0,0,0.55,0.5,0.6875,0.75
58,0.5,0,0.35,0.5,0,0.5
59,0.5,0.8,0.8,0,0.25,0.5
60,0,0,1,0.5,0.708333333,0.5
61,0.5,0.8,0.9,0.5,0.625,0.75
62,0.5,0,1,0.5,0.5,0.5
63,1,0,0.8,0.5,0.833333333,1
64,1,0.8,0.65,0.5,0.25,0.75
65,0.5,0.8,0.9,0,0.84375,0.75
66,0.5,0,0.8,0,0.375,0.75
67,0.5,0.8,0.2,1,0.25,0
68,0.5,0,1,0.5,0.84375,1
69,1,0.8,1,0,0.333333333,1
70,0.5,0.8,0.9,0.5,0.75,0.5
71,0.5,0,0.45,0.5,0.75,0.5
72,0.5,0,0.1,0.5,0,0
73,0,0.8,1,1,0.875,1
74,1,0.8,0.8,0,0.708333333,0.5
75,0.5,0.8,0.55,0.5,0.75,0.5
76,1,0.8,0.7,0.5,0.25,0.25
77,1,0.8,0.9,0,0.6875,1
78,0.5,0,0.7,0,0.166666667,0.5
79,0,0,0.75,1,0.55,0.25
80,0.5,0,0.9,0,0.333333333,0.5
81,1,0,0.35,1,0.458333333,0.75
82,1,0,0.8,0,0.25,0.75
83,1,0.8,1,0.5,0.84375,1
84,0.5,0,0.45,0.5,1,0
85,1,0.8,0.55,0,0.458333333,1
86,0.5,0.8,0.45,0.5,0.9375,0.25
87,1,0,0.45,0.5,0,0.75
88,0.5,0.8,0.7,1,0.729166667,0.25
89,0,0,0.55,0.5,0.5,0
90,0.5,0.8,0.9,1,0.333333333,0.5
91,0.5,0.8,0.6,0.5,0.71875,0.25
92,1,0.8,0.3,0.5,0.25,0.5
93,0.5,0.8,0.1,1,0.75,0.25
94,0,0,0.2,0.5,0.375,0
95,1,0,0.8,0,0.6875,0.75
96,0,0.8,0.65,0,0.625,1
97,1,0,0.45,0.5,0.6875,0.5
98,1,0.8,0.3,0.5,0.666666667,0.75
99,0.5,0,0.55,0.5,0.875,0.5
100,0.5,0.8,0.45,0.5,0,0.75
101,1,0,0.1,0,0,0
102,0.5,0,0.65,1,0.5,0.25
103,0,0,0.55,0.5,0.75,0.5
104,1,0,0.65,0.5,0.25,0.5
105,0,0,0.3,1,0.375,0.25
106,0.5,0,0.4,0,0.416666667,0.5
107,0.5,0.8,0.55,1,0,0.25
108,0.5,0,0.3,0.5,0.75,0.5
109,0.5,0.8,0.65,0.5,0.875,0.25
110,0.5,0.8,0.55,1,0.375,0.5
111,0.5,0,0.3,1,0,0.25
112,0.5,0.8,0.3,0.5,0.5,0.25
113,0.5,0,0.3,0.5,0.5,0.5
114,0.5,0.8,0.55,1,0,0.5
115,0.5,0,0.55,1,0.5,0.5
116,0.5,0.8,0.55,0.5,0,0.5
117,0.5,0.8,0.55,1,0.5,0.25
118,0,0,0.3,0.5,0,0.5
119,0,0,0.3,0.5,1,0.25
120,0,0.8,0.3,1,0,0.5
121,0.5,0,0.3,0.5,0,0.25
122,0.5,0,0.55,1,0,0.25
123,1,0.8,0.3,1,1,0.75
124,0.5,0.8,0.55,1,0,0.25
125,0.5,0,0.3,1,0,0.25
126,0.5,0,0.55,0.5,0,0
127,0,0.8,0.3,1,1,0.5
128,0,0,0.3,1,0.25,0.5
129,0.5,0,0.3,1,1,0
130,0,0,0.3,0.5,0.5,0.5
131,0,0.8,0.65,0.5,0,0.25
132,1,0.8,0.8,0,0.5625,0.75
133,0.5,0,0.6,0,0.416666667,0.5
134,1,0,0.6,0,0.416666667,0.5
135,0,0,0.8,1,0.416666667,0
136,0.5,0,0.55,1,0.875,0.5
137,0.5,0.8,0.55,0.5,0.78125,0.75
138,0.5,0,0.55,0.5,0.666666667,0.5
139,0.5,0,0.55,0.5,0.416666667,0.75
140,1,0,0.55,0,0.75,0.5
141,0,0.8,0.2,1,0.5,0
142,1,0.8,1,0,0.458333333,0.75
143,1,0,0.4,1,0.458333333,0
144,1,0,0.2,1,0.5,0
145,0.5,0,0.6,0.5,0.375,0.25
146,1,0.8,1,0,0.458333333,1
147,0.5,0.8,0.4,0.5,0.625,0.5
148,0.5,0,0.6,1,0.625,0
149,0.5,0,0.2,1,0.625,0
150,0.5,0,0.1,1,0.5,0
151,1,0.8,1,0,0.875,1
152,1,0.8,0.8,0.5,0.5625,0.5
153,1,0,0.7,0,0.875,0.75
154,1,0.8,1,0,0.55,1
155,0.5,0,0.45,1,0.5,0
156,0,0,0.1,1,0.5,0
157,0.5,0,0.9,1,0.25,0.25
158,0,0,0.1,1,0.5,0
159,0.5,0.8,0.55,0.5,0.875,0.25
160,0.5,0,0.9,1,0.75,0.25
161,0.5,0,0.9,1,0.5,0.5
162,0,0,0.55,0.5,0.5,0
163,0.5,0,0.55,1,0.75,0.25
164,0.5,0.8,0.9,1,0.5,0.75
165,0.5,0,0.55,0.5,0,0
166,0.5,0.8,0.65,0.5,0.75,0.5
167,0,0,0.55,0.5,0.875,0
168,0.5,0.8,0.9,0.5,0.5,0.75
169,0.5,0.8,0.65,0.5,0.875,0.75
170,0.5,0,0.55,0.5,0,0
171,0.5,0.8,0.55,0.5,0.75,0.25
172,0.5,0.8,0.55,0.5,0.5,0.5
173,0.5,0,0.45,0.5,0.9375,0
174,0.5,0.8,0.65,0.5,0.666666667,1
175,0.5,0,0.65,0.5,0.6875,0.5
176,0.5,0.8,0.65,0.5,0.625,0.5
177,0.5,0,0.55,0.5,0.625,0.5
178,0.5,0.8,0.65,0.5,0.875,0.5
179,0.5,0,0.65,0.5,0.5,0.5
180,0.5,0,0.55,1,0.5,0.75
181,0,0,0.1,1,0.75,0
182,0.5,0,0.45,1,0.375,0.5
183,1,0.8,0.8,0,1,1
184,0.5,0.8,0.65,1,0.75,0
